endpoint,gamma_e,ci_lo,ci_hi
hERG,0.1622507093705441,0.01820384393195591,0.2892892502552172
AMES,0.19274505890869376,0.1213381887864208,0.27687306410950785
BBB_Martins,0.15433734792490617,0.07190207162123148,0.23313217233211342
Pgp_Broccatelli,0.026521319316134384,-0.12342113932596896,0.18514170136983202
CYP2C9_Veith,-0.012183090482366432,-0.07607865711913178,0.051712476154398855
CYP2D6_Veith,0.017920113222941986,-0.04026486213570353,0.09054306430119959
CYP3A4_Veith,-0.022131708454981747,-0.12118187447679069,0.04769418732980666
Bioavailability_Ma,0.14065128522625991,-0.027607675341275117,0.3089102457937948
