endpoint,random,scaffold,Gamma_e
AMES,-0.01867008658656146,-0.004516114409743068,0.014153972176818394
BBB_Martins,-0.0022098739520383364,-0.03169421381679768,-0.02948433986475934
Bioavailability_Ma,0.04222962924603333,0.14064011825557582,0.0984104890095425
CYP2C9_Veith,0.006378679428347384,-0.017076633895278328,-0.02345531332362571
CYP2D6_Veith,-0.009178139252574284,0.009574330644486918,0.018752469897061204
CYP3A4_Veith,0.018596194868522355,0.005253355379490533,-0.01334283948903182
Pgp_Broccatelli,-0.028015886785503097,-0.047239756273451027,-0.01922386948794793
hERG,-0.01830579861430073,0.14378689930416097,0.1620926979184617
