protocol,bin,novelty,delta
random_raw,0,0.23529411764705888,0.3183744412504846
random_raw,1,0.2833333333333333,0.3024413320384244
random_raw,2,0.3207547169811321,0.2993922282725257
random_raw,3,0.34545454545454546,0.29500108743910647
random_raw,4,0.36363636363636365,0.29546740299558355
random_raw,5,0.3835616438356164,0.29420350744763946
random_raw,6,0.4025974025974026,0.29544030015352785
random_raw,7,0.42105263157894735,0.297703545059699
random_raw,8,0.43999999999999995,0.29788836796760404
random_raw,9,0.45833333333333337,0.2951250565450598
random_raw,10,0.4814814814814815,0.2971470158442377
random_raw,11,0.5072463768115942,0.3032250436424787
random_raw,12,0.5357142857142857,0.30187011876466663
random_raw,13,0.5714285714285714,0.3025418155103626
random_raw,14,0.6111111111111112,0.30411807390680756
random_raw,15,0.6521739130434783,0.3064210591353251
random_raw,16,0.6896551724137931,0.30148430723879116
random_raw,17,0.7333333333333334,0.30098568916692503
random_raw,18,0.7872340425531915,0.29995122697885873
random_raw,19,0.8857142857142857,0.3010179601513742
random_matched,0,0.23529411764705888,0.3183744412504845
random_matched,1,0.2833333333333333,0.30244133203842444
random_matched,2,0.3207547169811321,0.29939222827252565
random_matched,3,0.34545454545454546,0.2950010874391064
random_matched,4,0.36363636363636365,0.29546740299558355
random_matched,5,0.3835616438356164,0.29420350744763935
random_matched,6,0.4025974025974026,0.2954403001535278
random_matched,7,0.42105263157894735,0.29770354505969887
random_matched,8,0.43999999999999995,0.297888367967604
random_matched,9,0.45833333333333337,0.29512505654505977
random_matched,10,0.4814814814814815,0.29714701584423775
random_matched,11,0.5072463768115942,0.30322504364247865
random_matched,12,0.5357142857142857,0.3018701187646665
random_matched,13,0.5714285714285714,0.3025418155103625
random_matched,14,0.6111111111111112,0.3041180739068076
random_matched,15,0.6521739130434783,0.3064210591353252
random_matched,16,0.6896551724137931,0.30148430723879116
random_matched,17,0.7333333333333334,0.30098568916692503
random_matched,18,0.7872340425531915,0.29995122697885873
random_matched,19,0.8857142857142857,0.3010179601513741
scaffold,0,0.2272727272727273,0.40011117071216135
scaffold,1,0.28205128205128205,0.3631051342519369
scaffold,2,0.3207547169811321,0.34274546266150185
scaffold,3,0.34545454545454546,0.327356336737015
scaffold,4,0.36363636363636365,0.3252756142882818
scaffold,5,0.3829787234042553,0.31920789315275633
scaffold,6,0.4029850746268657,0.31951250394354314
scaffold,7,0.42000000000000004,0.3195690085220085
scaffold,8,0.4390243902439024,0.3144650978828146
scaffold,9,0.4590163934426229,0.320368689460131
scaffold,10,0.4810126582278481,0.32509404629821426
scaffold,11,0.5072463768115942,0.3344353535131176
scaffold,12,0.5348837209302326,0.333950607857305
scaffold,13,0.5686274509803921,0.33882355046398144
scaffold,14,0.6119402985074627,0.34041199382579385
scaffold,15,0.6521739130434783,0.3356259475514909
scaffold,16,0.6896551724137931,0.31812834931963274
scaffold,17,0.7313432835820896,0.31149284901182533
scaffold,18,0.7857142857142857,0.3092318113200616
scaffold,19,0.85,0.30194306355679784
