endpoint,n_test,n_unique,dNLL,dNLL_se,AUC_stl,AUC_mtl,AUPRC_stl,AUPRC_mtl,Brier_stl,Brier_mtl,Rel_stl,Rel_mtl
hERG,1938,443,0.35813154775257866,0.03403990895701958,0.8334417040358745,0.8343416791230692,0.9078811545243212,0.9083125203817448,0.19321062444831022,0.1732058095685623,0.039713586099102575,0.023709887047594892
AMES,21933,4914,0.30000973301028555,0.010144672224859522,0.8861795535712713,0.8769931746627099,0.8952764639450916,0.8880020943789896,0.1596945111184729,0.15322522145315412,0.02044641767268119,0.011704871847389858
BBB_Martins,5907,1322,0.2795591668478411,0.016415131270042013,0.8895583173371071,0.893875430263459,0.9508161243460304,0.9539218259828521,0.12014329908563458,0.10857436224837547,0.01627340482349708,0.00964632624969745
Pgp_Broccatelli,3747,832,0.3537768399981011,0.02376593517537417,0.9202021559935563,0.9382122396641227,0.9422483455406145,0.9549558614243377,0.13488963324583664,0.10312827017891806,0.016581670919545956,0.008415155517327778
CYP2C9_Veith,36201,8132,0.26655511634545337,0.008174984958727557,0.8665598018863679,0.8482834705334575,0.7595731064913708,0.7247133625372912,0.1679697164441083,0.16680853378800217,0.025013426521410996,0.0167089940803017
CYP2D6_Veith,39246,8829,0.28004215348984823,0.007034004319385686,0.8395317694257791,0.8439846492277303,0.6475668769217973,0.648418150166147,0.12551271845758208,0.11777455949432689,0.01588067101968503,0.010294688835787552
CYP3A4_Veith,37161,8350,0.34251948559499196,0.008451414824356008,0.8765075848160797,0.8682287043211693,0.837333575145891,0.8251987768978666,0.16748466660956507,0.1579298268644786,0.022743822162515477,0.011982874918362333
Bioavailability_Ma,1875,416,0.3849146368384139,0.034738586093897204,0.7408209887925912,0.7413272344813927,0.898280276690659,0.8999735025120057,0.20481845277787253,0.1932474292328813,0.05874562321153911,0.047662171436132515
