protocol,instance,level,endpoint,test_mols,test_in_train,test_in_cal
scaffold,2,L1,CYP3A4_Veith,2382,13,3
scaffold,2,L1,Bioavailability_Ma,124,8,2
scaffold,2,L2,hERG,114,26,2
scaffold,2,L2,AMES,1007,18,6
scaffold,2,L2,BBB_Martins,379,18,5
scaffold,2,L2,Pgp_Broccatelli,199,8,4
scaffold,2,L2,CYP2C9_Veith,2354,20,3
scaffold,2,L2,CYP2D6_Veith,2554,19,4
scaffold,2,L2,CYP3A4_Veith,2382,16,3
scaffold,2,L2,Bioavailability_Ma,124,11,3
scaffold,3,L1,hERG,116,10,0
scaffold,3,L1,AMES,1084,19,1
scaffold,3,L1,BBB_Martins,299,8,4
scaffold,3,L1,Pgp_Broccatelli,226,2,0
scaffold,3,L1,CYP2C9_Veith,2279,9,1
scaffold,3,L1,CYP2D6_Veith,2510,12,3
scaffold,3,L1,CYP3A4_Veith,2376,10,3
scaffold,3,L1,Bioavailability_Ma,108,4,1
scaffold,3,L2,hERG,116,14,3
scaffold,3,L2,AMES,1084,30,2
scaffold,3,L2,BBB_Martins,299,16,6
scaffold,3,L2,Pgp_Broccatelli,226,3,0
scaffold,3,L2,CYP2C9_Veith,2279,17,1
scaffold,3,L2,CYP2D6_Veith,2510,22,4
scaffold,3,L2,CYP3A4_Veith,2376,20,4
scaffold,3,L2,Bioavailability_Ma,108,10,2
scaffold,4,L1,hERG,122,6,1
scaffold,4,L1,AMES,754,22,4
scaffold,4,L1,BBB_Martins,430,9,0
scaffold,4,L1,Pgp_Broccatelli,296,8,0
scaffold,4,L1,CYP2C9_Veith,2234,12,1
scaffold,4,L1,CYP2D6_Veith,2392,14,0
scaffold,4,L1,CYP3A4_Veith,2252,11,1
scaffold,4,L1,Bioavailability_Ma,110,8,0
scaffold,4,L2,hERG,122,11,1
scaffold,4,L2,AMES,754,36,5
scaffold,4,L2,BBB_Martins,430,14,0
scaffold,4,L2,Pgp_Broccatelli,296,10,0
scaffold,4,L2,CYP2C9_Veith,2234,15,3
scaffold,4,L2,CYP2D6_Veith,2392,16,2
scaffold,4,L2,CYP3A4_Veith,2252,14,3
scaffold,4,L2,Bioavailability_Ma,110,12,0
